# input_hex	folded_hex	display
		
61	61	a
494d475f303030312e4a5047	696d675f303030312e6a7067	IMG_0001.JPG
696d675f303030312e6a7067	696d675f303030312e6a7067	img_0001.jpg
5661636174696f6e5f50686f746f2e4a5047	7661636174696f6e5f70686f746f2e6a7067	Vacation_Photo.JPG
5245504f52545f46494e414c2e444f4358	7265706f72745f66696e616c2e646f6378	REPORT_FINAL.DOCX
646174612f646f63756d656e74732f5265706f72745f46696e616c5f30302e444f4358	646174612f646f63756d656e74732f7265706f72745f66696e616c5f30302e646f6378	data/documents/Report_Final_00.DOCX
2e68696464656e2d30302e636667	2e68696464656e2d30302e636667	.hidden-00.cfg
ec97aceba684ed9cb4eab080ec82aceca7842e6a7067	ec97aceba684ed9cb4eab080ec82aceca7842e6a7067	여름휴가사진.jpg
ebb3b4eab3a0ec849c2d3030302e706466	ebb3b4eab3a0ec849c2d3030302e706466	보고서-000.pdf
e99fb3e6a5bd2fe382a2e383abe38390e383a030312f747261636b30312e666c6163	e99fb3e6a5bd2fe382a2e383abe38390e383a030312f747261636b30312e666c6163	音楽/アルバム01/track01.flac
636166c3a92e747874	636166c3a92e747874	café.txt
63616665cc812e747874	636166c3a92e747874	café.txt
434146c3892e545854	636166c3a92e747874	CAFÉ.TXT
cea3ce8acea3cea5cea6ce9fcea32e747874	cf83ceafcf83cf85cf86cebfcf832e747874	ΣΊΣΥΦΟΣ.txt
c4b07374616e62756c2e747874	69cc877374616e62756c2e747874	İstanbul.txt
e1ba9e5452415353452e747874	c39f7472617373652e747874	ẞTRASSE.txt
cea92d4f4d4547412e747874	cf892d6f6d6567612e747874	Ω-OMEGA.txt
414243fffe2e62696e	616263fffe2e62696e	ABC��.bin
c328	c328	�(
ff	ff	�
