# kind	arg	precision	result
hash		-	c3817c016ba4ff30
hash	61	-	5f29c2aadd9b8527
hash	616263	-	29e32c04ec3f9c30
hash	6974656d2d30	-	dcaac13581e7a397
hash	6974656d2d31	-	327230208a9a356b
hash	6974656d2d393939393939	-	e3a1db051f1c9911
hash	ed9cb4eab080	-	1f67e901f96394a6
hash	ebb3b4eab3a0ec849c	-	7019891f22c4149e
hash	fffefd	-	3482b2d3679b5a86
hash	7468652073616d65207472696772616d20736f75726365206f76657220616e64206f766572	-	7efd7ee946b92865
item	0	4	0000000000000000
item	1	4	3ff08598b59e3a06
item	10	4	40262e42fefa39ef
item	100	4	405529fa6500273f
item	1000	4	40928c22b43bfd5d
item	10000	4	40c71dbfea4ac45c
item	0	8	0000000000000000
item	1	8	3ff0080559588b25
item	10	8	402466aed42de3f9
item	100	8	4058b639a88b2df4
item	1000	8	408e21c81f1d27ab
item	10000	8	40c4664c224ed6ab
item	0	14	0000000000000000
item	1	14	3ff0002000555255
item	10	14	4024019029af8a3a
item	100	14	4058d33854a77f7a
item	1000	14	408f7abd1df12b70
item	10000	14	40c399a157a603e7
trigram	1000	14	4094f1729fad9161
trigram	50000	14	4095bdcaf232bb2c
dup	1	14	3ff0002000555255
dup	10000	14	3ff0002000555255
