# input_hex	trigrams_hex_csv	display
		
61		a
6162		ab
616263	616263	abc
61626364	616263,626364	abcd
61616161	616161	aaaa
696d675f303030312e6a7067	2e6a70,303030,303031,30312e,312e6a,5f3030,675f30,696d67,6a7067,6d675f	img_0001.jpg
646174612f70686f746f732f323032362f	2f3230,2f7068,303236,323032,32362f,612f70,617461,646174,686f74,6f732f,6f746f,70686f,732f32,74612f,746f73	data/photos/2026/
ed9cb4	ed9cb4	휴
ed9cb4eab080	9cb4ea,b4eab0,eab080,ed9cb4	휴가
ec97aceba684ed9cb4eab080ec82aceca7842e6a7067	2e6a70,6a7067,80ec82,82acec,842e6a,84ed9c,97aceb,9cb4ea,a684ed,a7842e,aceba6,aceca7,b080ec,b4eab0,eab080,eba684,ec82ac,ec97ac,eca784,ed9cb4	여름휴가사진.jpg
ebb3b4eab3a0ec849c	a0ec84,b3a0ec,b3b4ea,b4eab3,eab3a0,ebb3b4,ec849c	보고서
e382a2e383abe38390e383a0	82a2e3,8390e3,83abe3,90e383,a2e383,abe383,e382a2,e38390,e383a0,e383ab	アルバム
e99fb3e6a5bd	9fb3e6,b3e6a5,e6a5bd,e99fb3	音楽
fffefdfc	fefdfc,fffefd	����
